Sr_No,Matchs,Date,first_innings_total,second_innings_total,Decision
1,CSK vs KKR,2022-03-26,133/5,133/4 ,KKR WON
2,MI vs DC,2022-03-27,177/5,179/6,DC WON
3,RCB vs PBKS,2022-03-27,205/2,208/5,PBKS WON
4,LSG vs GT,2022-03-28,158/6,161/5,GT WON
5,RR vs SRH,2022-03-29,210/6,149/7,RR WON
6,KKR vs RCB,2022-03-30,128/10,137/7,RCB WON
7,CSK vs LSG,2022-03-31,210/7,211/4,LSG WON 
8,PBKS vs KKR ,2022-04-01,137/10,141/4,KKR WON
9,RR vs MI,2022-04-02,193/8,170/8,RR WON
10,GT vs DC,2022-04-02,171/6,157/9,GT WON
11,PBKS vs CSK,2022-04-03,180/8,126/10,PBKS WON
12,LSG vs SRH,2022-04-04,169/7,157/9,LSG WON 
13,RR vs RCB,2022-04-05,169/3,173/6, RCB WON
14,MI vs KKR,2022-04-06,161/4,162/5,KKR WON
15,DC vs LSG,2022-04-07,149/3,155/4,LSG WON 
16,PBKS vs GT,2022-04-08,189/9,196/4, GT WON
17,CSK vs SRH,2022-04-09,154/7,155/2,SRH WON 
18,MI vs RCB,2022-04-09,151/6,152/3,RCB WON
19,DC vs KKR,2022-04-10,215/5,171/10,DC WON
20,RR vs LSG,2022-04-10,165/6,162/8, RR WON
21,GT vs SRH ,2022-04-11,162/7,168/2,SRH WON 
22,CSK vs RCB,2022-04-12,216/4,193/9,CSK WON
23,PBKS vs MI,2022-04-13,198/5,186/9,PBKS WON
24,GT vs RR,2022-04-14,192/4,155/9,GT WON
25,KKR vs SRH,2022-04-15,175/8,176/3,SRH WON 
26,LSG vs MI,2022-04-16,199/4,181/9,LSG WON 
27,RCB vs DC,2022-04-16,189/5,173/7,RCB WON
28,PBKS vs SRH,2022-04-17,151/10,152/3,SRH WON 
29,CSK vs GT,2022-04-17,169/5,170/7,GT WON
30,RR vs KKR,2022-04-18,217/5,210/10,RR WON
31,RCB vs LSG,2022-04-19,181/6,163/8,RCB WON
32,PBKS vs DC,2022-04-20,115/10,119/10, DC WON
33,MI vs CSK,2022-04-21,155/7,156/7,CSK WON
34,RR vs DC,2022-04-22,222/2,207/8,RR WON
35,GT vs KKR,2022-04-23,156/9,148/8,GT WON
36,RCB vs SRH,2022-04-23,68/10,72/1,SRH WON 
37,LSG vs MI,2022-04-24,168/6,132/8,LSG WON 
38,PBKS vs CSK,2022-04-25,187/4,176/6,PBKS WON
39,RR vs RCB ,2022-04-26,144/8,115/10,RR WON
40,SRH vs GT,2022-04-27,195/6,199/5,GT WON
41,KKR vs DC,2022-04-28,146/9,150/6,DC WON
42,LSG vs PBKS,2022-04-29,153/8,133/8,LSG WON 
43,RCB vs GT,2022-04-30,170/6,174/4,GT WON
44,RR vs MI,2022-04-30,158/6,161/5,MI WON
45,LSG vs DC,2022-05-01,195/3,189/7,LSG WON 
46,CSK vs SRH,2022-05-01,202/2,189/6,CSK WON
47,RR vs KKR,2022-05-02,152/5,158/3,KKR WON
48,GT vs PBKS,2022-05-03,143/8,145/2,PBKS WON
49,RCB vs CSK,2022-05-04,173/8,160/8,RCB WON
50,DC vs SRH,2022-05-05,207/3,186/8,DC WON
51,MI vs GT,2022-05-06,177/6,172/5,MI WON
52,PBKS vs RR,2022-05-07,189/5,190/4,RR WON
53,LSG vs KKR,2022-05-07,176/7,101/10,LSG WON 
54,RCB vs SRH,2022-05-08,192/3,125/10,RCB WON
55,CSK vs DC,2022-05-08,208/6,117/10,CSK WON
56,KKR vs MI,2022-05-09,165/9,113/10,KKR WON
57,GT vs LSG,2022-05-10,144/4,82/10,GT WON
58,RR vs DC,2022-05-11,160/6,161/2,DC WON
59,CSK vs MI,2022-05-12,97/10,103/5,MI WON
60,PBKS vs RCB,2022-05-13,209/9,155/9,PBKS WON
61,KKR vs SRH,2022-05-14,177/6,123/8,KKR WON
62,CSK vs GT,2022-05-15,133/5,137/3,GT WON
63,RR vs LSG,2022-05-15,178/6,154/8,RR WON
64,DC vs PBKS,2022-05-16,159/7,142/9,DC WON
65,SRH vs MI,2022-05-17,193/6,190/7,SRH WON 
66,LSG vs KKR,2022-05-18,210/0,208/8,LSG WON 
67,GT vs RCB,2022-05-19,168/5,170/2,RCB WON
68,CSK vs RR,2022-05-20,150/6,151/5,RR WON
69,DC vs MI,2022-05-21,159/7,160/5,MI WON
70,SRH vs PBKS,2022-05-22,157/8,160/5,PBKS WON
71,RR vs GT,2022-05-24,188/6,191/3,GT WON
72,RCB vs LSG,2022-05-25,207/4,193/6,RCB WON
73,RCB vs RR,2022-05-27,157/8,161/3,RR WON
74,RR vs GT,2022-05-29,130/9,133/3,GT WON
